startup,city
Hansa Customer Equity,Mumbai
CAKART.in,Bangalore
FundsIndia.com,Chennai
Cupick,Bangalore
Holachef,Mumbai
elong,Bangalore
SkillAngels,Chennai
Vidgyor,Bangalore
Banihal,Delhi
Goodservice,Delhi
EduKart,Delhi
Healthians.com,Hyderabad
LabInApp,Bangalore
Sigrid Education,Noida
The Porter,Mumbai
Retention.ai,Bangalore
Fusion Microfinance,Delhi
Zinka,Bangalore
GetMyPeon,Mumbai
AdWyze,Bangalore
aagaar.com,Gurgaon
Flatchat,Bangalore
MyCFO,Mumbai
Foodpanda,Gurgaon
Termsheet,Chennai
SpoonJoy,Bangalore
Seed Schools,Hyderabad
Ignis Careers,Hyderabad
Fintellix,Bangalore
Customer360,Mumbai
BuyHatke,Bangalore
KleverKid,Delhi
Uniken,Pune
GrandOpinion,Delhi
ZapStitch,Bangalore
Mobiefit,Goa
Plancess,Mumbai
WorkHorse,Mumbai
MyCuteOffice,Mumbai
IndianRoots.com,Gurgaon
RedPolka,Mumbai
Venturesity,Bangalore
TheBetterIndia.com,Bangalore
Akosha,Delhi
Cooey,Bangalore
MeetUniv,Noida
Crown-it,Gurgaon
Trucksfirst,Gurgaon
SunTerrace,Delhi
\\xc2\\xa0Nudgespot,Bangalore
EveningFlavors,Bangalore
ZenParent,Bangalore
Newgen Payments,Delhi
UrbanPro,Bangalore
Renderlogy,Hyderabad
Casa2inns,Delhi
FleetRover,Goa
TheKarrier,Bangalore
Truweight,Hyderabad
Bluegape,Gurgaon
KeepTrax,Dallas
InstaLively,Delhi
Pricejugaad,Hyderabad
PressPlay,Delhi
FirstCry.com,Pune
Olacabs,Bangalore
Changer Mints,Kolkata
Purple Squirrel,Mumbai
iMMi Life,Chennai
ZopNow,Bangalore
Nayi Disha,Delhi
Commeasure,Noida
LocalOye,Mumbai
PepperTap,Gurgaon
Robosoft,Udupi
Pastiwala,Vadodara
1mg (Healthkartplus),Gurgaon
Freshdesk,Chennai
Sulekha.com,Chennai
FindYahan,Delhi
Eat.Shop.Love,Bangalore
Craftstvilla,Mumbai
HeadOut,Bangalore
Phone Warrior,Delhi
Torqus,Pune
LogicRoots,Jaipur
GIBBS,Delhi
Babajobs,Bangalore
Jay Robotix,Hyderabad
Naaptol.com,Mumbai
ReGlobe,Gurgaon
Dazo,Bangalore
Tradelab,Bangalore
PiQube,Chennai
